ID,Typ,Artikelnr,Namn,Är utvald?,Publicerad,Kort beskrivning,Beskrivning,Datum när reapriset börjar,Datum när reapriset upphör,Momsstatus,Momsgrupp,I lager?,Lagersaldo,Lågt lagerantal,Tillåt restnoteringar?,Säljes styckvis?,Vikt (kg),Längd (cm),Bredd (cm),Höjd (cm),Tillåt kundrecensioner?,Köpmeddelande,Reapris,Ordinarie pris,Kategorier,Taggar,Fraktklass,Bilder,Nedladdningsgräns,Ladda ned utgångsdagar,Förälder,Grupperade produkter,Merförsäljning,Korsförsäljning,Extern URL,Knapptext,Position,Meta: thb_product_video,Meta: sizing_guide,Meta: rs_page_bg_color,Metarank_math_internal_links_processed,Meta: _wpb_vc_js_status,Meta: rank_math_permalink,Metarank_math_primary_product_cat,Meta: rank_math_seo_score,Metarank_math_facebook_enable_image_overlay,Metarank_math_facebook_image_overlay,Metarank_math_twitter_use_facebook,Metarank_math_twitter_card_type,Metarank_math_twitter_enable_image_overlay,Metarank_math_twitter_image_overlay
300,external,,Drömäng,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU20_82M.jpg,,,,,,,https://www.euroflorist.se/dromang-pr36487,Skicka blommor nu,0,,off,,1,FALSE,Drömäng,0,8,off,play,on,summary_large_image,off,play
301,external,,Puss och kram,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,249 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/GIF15_05S.jpg,,,,,,,https://www.euroflorist.se/puss-och-kram-pr20506,Skicka blommor nu,0,,off,,1,FALSE,Puss och kram,0,8,off,play,on,summary_large_image,off,play
302,external,,Vårlängtan,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU14_26M.jpg,,,,,,,https://www.euroflorist.se/varlangtan-pr26162,Skicka blommor nu,0,,off,,1,FALSE,Vårlängtan,0,8,off,play,on,summary_large_image,off,play
303,external,,Lyxigt vårarrangemang,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,359 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/ARR18_32M.jpg,,,,,,,https://www.euroflorist.se/lyxigt-vararrangemang-pr34208,Skicka blommor nu,0,,off,,1,FALSE,Lyxigt vårarrangemang,0,8,off,play,on,summary_large_image,off,play
304,external,,Underbara rosor,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,269 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU21_01APHS.jpg,,,,,,,https://www.euroflorist.se/underbara-rosor-pr37557,Skicka blommor nu,0,,off,,1,FALSE,Underbara rosor,0,8,off,play,on,summary_large_image,off,play
305,external,,Aprilbuketten,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU20_21M.jpg,,,,,,,https://www.euroflorist.se/aprilbuketten-pr36450,Skicka blommor nu,0,,off,,1,FALSE,Aprilbuketten,0,8,off,play,on,summary_large_image,off,play
306,external,,Guldkant,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU20_06M.jpg,,,,,,,https://www.euroflorist.se/guldkant-pr36388,Skicka blommor nu,0,,off,,1,FALSE,Guldkant,0,8,off,play,on,summary_large_image,off,play
307,external,,Gyllene vår,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU20_02M.jpg,,,,,,,https://www.euroflorist.se/gyllene-var-pr36454,Skicka blommor nu,0,,off,,1,FALSE,Gyllene vår,0,8,off,play,on,summary_large_image,off,play
308,external,,Viola,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,339 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU15_05M.jpg,,,,,,,https://www.euroflorist.se/viola-pr28831,Skicka blommor nu,0,,off,,1,FALSE,Viola,0,8,off,play,on,summary_large_image,off,play
309,external,,Floristen designar Vår,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU14_28S.jpg,,,,,,,https://www.euroflorist.se/floristen-designar-var-pr20413,Skicka blommor nu,0,,off,,1,FALSE,Floristen designar Vår,0,8,off,play,on,summary_large_image,off,play
310,external,,Drömmig,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,379 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU16_017M.jpg,,,,,,,https://www.euroflorist.se/drommig-pr28734,Skicka blommor nu,0,,off,,1,FALSE,Drömmig,0,8,off,play,on,summary_large_image,off,play
311,external,,Floristens val Solklar,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,339 kr,Bästsäljare,,,https://www.euroflorist.se/Products/340x340/BOU15_43M.jpg,,,,,,,https://www.euroflorist.se/floristens-val-solklar-pr25493,Skicka blommor nu,0,,off,,1,FALSE,Floristens val Solklar,0,8,off,play,on,summary_large_image,off,play
